airline,origin,destination,flight_duration,congestion,aircraft_type,delay,weather,scheduled_time,temperature,humidity
IndiGo,DEL,BOM,120,3,A320,15,Clear,2025-02-22 08:30:00,28,65
IndiGo,BOM,DEL,130,2,A320,20,Rain,2025-02-22 09:45:00,26,80
IndiGo,BLR,HYD,90,4,A321,5,Fog,2025-02-22 06:15:00,30,70
IndiGo,HYD,BLR,85,3,A320,10,Clear,2025-02-22 07:50:00,32,60
IndiGo,DEL,BLR,180,5,A320,30,Rain,2025-02-22 10:30:00,29,75
SpiceJet,DEL,MAA,160,4,B737,25,Thunderstorm,2025-02-22 11:00:00,27,85
AirAsia,BLR,DEL,170,3,A320,18,Clear,2025-02-22 12:45:00,31,55
Vistara,BOM,BLR,95,2,A320,12,Cloudy,2025-02-22 14:20:00,29,60
GoAir,MAA,BOM,150,4,A321,22,Fog,2025-02-22 05:50:00,28,75
IndiGo,BOM,HYD,100,3,A320,9,Clear,2025-02-22 13:10:00,30,65
SpiceJet,HYD,DEL,140,5,B737,28,Rain,2025-02-22 15:30:00,25,82
AirAsia,BLR,BOM,120,2,A320,16,Sunny,2025-02-22 16:50:00,32,55
Vistara,DEL,BLR,180,4,A321,26,Thunderstorm,2025-02-22 18:10:00,27,90
GoAir,BOM,MAA,155,3,A320,20,Clear,2025-02-22 19:30:00,30,58
IndiGo,MAA,BLR,75,2,A320,7,Cloudy,2025-02-22 20:45:00,31,62
SpiceJet,BLR,HYD,95,3,B737,12,Rain,2025-02-22 21:55:00,28,78
AirAsia,DEL,BOM,125,4,A320,17,Thunderstorm,2025-02-22 22:40:00,26,88
Vistara,HYD,BLR,85,2,A320,8,Clear,2025-02-22 23:20:00,32,60
GoAir,DEL,HYD,145,5,A321,27,Fog,2025-02-23 00:30:00,24,80
IndiGo,BOM,DEL,135,3,A320,19,Cloudy,2025-02-23 02:10:00,28,70
